DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1994-06-01,1994,1,6,ELETRO12_CEEOUT12,1994-06-01T00:00:00-03:00,2839.0
1994-07-01,1994,1,7,ELETRO12_CEEOUT12,1994-07-01T00:00:00-03:00,2776.0
1994-08-01,1994,1,8,ELETRO12_CEEOUT12,1994-08-01T00:00:00-03:00,2768.0
1994-09-01,1994,1,9,ELETRO12_CEEOUT12,1994-09-01T00:00:00-03:00,2958.0
1994-10-01,1994,1,10,ELETRO12_CEEOUT12,1994-10-01T00:00:00-03:00,2939.0
1994-11-01,1994,1,11,ELETRO12_CEEOUT12,1994-11-01T00:00:00-03:00,2900.0
1994-12-01,1994,1,12,ELETRO12_CEEOUT12,1994-12-01T00:00:00-02:00,2922.0
1995-01-01,1995,1,1,ELETRO12_CEEOUT12,1995-01-01T00:00:00-02:00,3039.0
1995-02-01,1995,1,2,ELETRO12_CEEOUT12,1995-02-01T00:00:00-02:00,2950.0
1995-03-01,1995,1,3,ELETRO12_CEEOUT12,1995-03-01T00:00:00-03:00,2981.0
1995-04-01,1995,1,4,ELETRO12_CEEOUT12,1995-04-01T00:00:00-03:00,2989.0
1995-05-01,1995,1,5,ELETRO12_CEEOUT12,1995-05-01T00:00:00-03:00,2912.0
1995-06-01,1995,1,6,ELETRO12_CEEOUT12,1995-06-01T00:00:00-03:00,2970.0
1995-07-01,1995,1,7,ELETRO12_CEEOUT12,1995-07-01T00:00:00-03:00,2986.0
1995-08-01,1995,1,8,ELETRO12_CEEOUT12,1995-08-01T00:00:00-03:00,3001.0
1995-09-01,1995,1,9,ELETRO12_CEEOUT12,1995-09-01T00:00:00-03:00,3191.0
1995-10-01,1995,1,10,ELETRO12_CEEOUT12,1995-10-01T00:00:00-03:00,3073.0
1995-11-01,1995,1,11,ELETRO12_CEEOUT12,1995-11-01T00:00:00-03:00,3117.0
1995-12-01,1995,1,12,ELETRO12_CEEOUT12,1995-12-01T00:00:00-02:00,3109.0
1996-01-01,1996,1,1,ELETRO12_CEEOUT12,1996-01-01T00:00:00-02:00,3107.0
1996-02-01,1996,1,2,ELETRO12_CEEOUT12,1996-02-01T00:00:00-02:00,3066.0
1996-03-01,1996,1,3,ELETRO12_CEEOUT12,1996-03-01T00:00:00-03:00,3022.0
1996-04-01,1996,1,4,ELETRO12_CEEOUT12,1996-04-01T00:00:00-03:00,3090.0
1996-05-01,1996,1,5,ELETRO12_CEEOUT12,1996-05-01T00:00:00-03:00,3022.0
1996-06-01,1996,1,6,ELETRO12_CEEOUT12,1996-06-01T00:00:00-03:00,3087.0
1996-07-01,1996,1,7,ELETRO12_CEEOUT12,1996-07-01T00:00:00-03:00,3033.0
1996-08-01,1996,1,8,ELETRO12_CEEOUT12,1996-08-01T00:00:00-03:00,3141.0
1996-09-01,1996,1,9,ELETRO12_CEEOUT12,1996-09-01T00:00:00-03:00,3184.0
1996-10-01,1996,1,10,ELETRO12_CEEOUT12,1996-10-01T00:00:00-03:00,3198.0
1996-11-01,1996,1,11,ELETRO12_CEEOUT12,1996-11-01T00:00:00-03:00,3176.0
1996-12-01,1996,1,12,ELETRO12_CEEOUT12,1996-12-01T00:00:00-02:00,3154.0
1997-01-01,1997,1,1,ELETRO12_CEEOUT12,1997-01-01T00:00:00-02:00,3281.0
1997-02-01,1997,1,2,ELETRO12_CEEOUT12,1997-02-01T00:00:00-02:00,3097.0
1997-03-01,1997,1,3,ELETRO12_CEEOUT12,1997-03-01T00:00:00-03:00,3215.0
1997-04-01,1997,1,4,ELETRO12_CEEOUT12,1997-04-01T00:00:00-03:00,3177.0
1997-05-01,1997,1,5,ELETRO12_CEEOUT12,1997-05-01T00:00:00-03:00,3235.0
1997-06-01,1997,1,6,ELETRO12_CEEOUT12,1997-06-01T00:00:00-03:00,3171.0
1997-07-01,1997,1,7,ELETRO12_CEEOUT12,1997-07-01T00:00:00-03:00,3220.0
1997-08-01,1997,1,8,ELETRO12_CEEOUT12,1997-08-01T00:00:00-03:00,3327.0
1997-09-01,1997,1,9,ELETRO12_CEEOUT12,1997-09-01T00:00:00-03:00,3417.0
1997-10-01,1997,1,10,ELETRO12_CEEOUT12,1997-10-01T00:00:00-03:00,3410.0
1997-11-01,1997,1,11,ELETRO12_CEEOUT12,1997-11-01T00:00:00-03:00,3395.0
1997-12-01,1997,1,12,ELETRO12_CEEOUT12,1997-12-01T00:00:00-02:00,3332.0
1998-01-01,1998,1,1,ELETRO12_CEEOUT12,1998-01-01T00:00:00-02:00,3461.0
1998-02-01,1998,1,2,ELETRO12_CEEOUT12,1998-02-01T00:00:00-02:00,3339.0
1998-03-01,1998,1,3,ELETRO12_CEEOUT12,1998-03-01T00:00:00-03:00,3355.0
1998-04-01,1998,1,4,ELETRO12_CEEOUT12,1998-04-01T00:00:00-03:00,3494.0
1998-05-01,1998,1,5,ELETRO12_CEEOUT12,1998-05-01T00:00:00-03:00,3449.0
1998-06-01,1998,1,6,ELETRO12_CEEOUT12,1998-06-01T00:00:00-03:00,3363.0
